2023-05-26 22:16:04.683 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:16:04.683 315:pos-tag                INFO     ********************
2023-05-26 22:16:04.683 316:pos-tag                INFO     Best MCC:0.2025
2023-05-26 22:16:04.684 317:pos-tag                INFO     ********************
2023-05-26 22:16:07.114 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:16:08.725 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:16:08.725 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:16:08.725 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:16:15.408 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:16:15.408 401:pos-tag                INFO     eval_acc = 0.353
2023-05-26 22:16:15.409 401:pos-tag                INFO     eval_f1 = 0.0597
2023-05-26 22:16:15.409 401:pos-tag                INFO     eval_mcc = 0.303
2023-05-26 22:16:15.409 401:pos-tag                INFO     eval_precision = 0.0975
2023-05-26 22:16:15.409 401:pos-tag                INFO     eval_recall = 0.0653
2023-05-26 22:16:15.409 293:pos-tag                INFO     ********************
2023-05-26 22:16:15.409 294:pos-tag                INFO     Best f1:0.0597
2023-05-26 22:16:15.409 295:pos-tag                INFO     ********************
2023-05-26 22:16:17.748 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:16:17.748 315:pos-tag                INFO     ********************
2023-05-26 22:16:17.749 316:pos-tag                INFO     Best MCC:0.303
2023-05-26 22:16:17.749 317:pos-tag                INFO     ********************
2023-05-26 22:16:20.205 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:16:21.809 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:16:21.809 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:16:21.809 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:16:28.498 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:16:28.499 401:pos-tag                INFO     eval_acc = 0.3843
2023-05-26 22:16:28.499 401:pos-tag                INFO     eval_f1 = 0.0859
2023-05-26 22:16:28.499 401:pos-tag                INFO     eval_mcc = 0.352
2023-05-26 22:16:28.499 401:pos-tag                INFO     eval_precision = 0.1353
2023-05-26 22:16:28.500 401:pos-tag                INFO     eval_recall = 0.0889
2023-05-26 22:16:28.500 293:pos-tag                INFO     ********************
2023-05-26 22:16:28.500 294:pos-tag                INFO     Best f1:0.0859
2023-05-26 22:16:28.500 295:pos-tag                INFO     ********************
2023-05-26 22:16:30.840 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:16:30.841 315:pos-tag                INFO     ********************
2023-05-26 22:16:30.841 316:pos-tag                INFO     Best MCC:0.352
2023-05-26 22:16:30.841 317:pos-tag                INFO     ********************
2023-05-26 22:16:33.252 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:16:34.857 351:pos-tag                INFO   ***** Running evaluation *****
