2023-05-23 21:57:44.454 401:pos-tag                INFO     eval_precision = 0.027
2023-05-23 21:57:44.454 401:pos-tag                INFO     eval_recall = 0.024
2023-05-23 21:57:44.454 293:pos-tag                INFO     ********************
2023-05-23 21:57:44.455 294:pos-tag                INFO     Best f1:0.0198
2023-05-23 21:57:44.455 295:pos-tag                INFO     ********************
2023-05-23 21:57:45.681 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:57:45.681 315:pos-tag                INFO     ********************
2023-05-23 21:57:45.682 316:pos-tag                INFO     Best MCC:0.1446
2023-05-23 21:57:45.682 317:pos-tag                INFO     ********************
2023-05-23 21:57:47.008 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:57:47.804 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:57:47.805 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:57:47.805 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:57:52.541 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:57:52.541 401:pos-tag                INFO     eval_acc = 0.2166
2023-05-23 21:57:52.541 401:pos-tag                INFO     eval_f1 = 0.0282
2023-05-23 21:57:52.541 401:pos-tag                INFO     eval_mcc = 0.1751
2023-05-23 21:57:52.541 401:pos-tag                INFO     eval_precision = 0.0389
2023-05-23 21:57:52.541 401:pos-tag                INFO     eval_recall = 0.0327
2023-05-23 21:57:52.541 293:pos-tag                INFO     ********************
2023-05-23 21:57:52.541 294:pos-tag                INFO     Best f1:0.0282
2023-05-23 21:57:52.541 295:pos-tag                INFO     ********************
2023-05-23 21:57:53.507 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:57:53.507 315:pos-tag                INFO     ********************
2023-05-23 21:57:53.507 316:pos-tag                INFO     Best MCC:0.1751
2023-05-23 21:57:53.508 317:pos-tag                INFO     ********************
2023-05-23 21:57:54.659 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:57:55.460 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:57:55.460 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:57:55.460 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:58:00.192 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:58:00.192 401:pos-tag                INFO     eval_acc = 0.2627
2023-05-23 21:58:00.192 401:pos-tag                INFO     eval_f1 = 0.0352
2023-05-23 21:58:00.192 401:pos-tag                INFO     eval_mcc = 0.2187
2023-05-23 21:58:00.192 401:pos-tag                INFO     eval_precision = 0.0464
2023-05-23 21:58:00.192 401:pos-tag                INFO     eval_recall = 0.04
2023-05-23 21:58:00.192 293:pos-tag                INFO     ********************
2023-05-23 21:58:00.193 294:pos-tag                INFO     Best f1:0.0352
2023-05-23 21:58:00.193 295:pos-tag                INFO     ********************
2023-05-23 21:58:01.747 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:58:01.747 315:pos-tag                INFO     ********************
2023-05-23 21:58:01.748 316:pos-tag                INFO     Best MCC:0.2187
2023-05-23 21:58:01.748 317:pos-tag                INFO     ********************
2023-05-23 21:58:03.049 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:58:03.837 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:58:03.837 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:58:03.837 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:58:08.569 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:58:08.569 401:pos-tag                INFO     eval_acc = 0.3149
2023-05-23 21:58:08.569 401:pos-tag                INFO     eval_f1 = 0.043
2023-05-23 21:58:08.569 401:pos-tag                INFO     eval_mcc = 0.2703
2023-05-23 21:58:08.569 401:pos-tag                INFO     eval_precision = 0.0525
2023-05-23 21:58:08.570 401:pos-tag                INFO     eval_recall = 0.0483
2023-05-23 21:58:08.570 293:pos-tag                INFO     ********************
2023-05-23 21:58:08.570 294:pos-tag                INFO     Best f1:0.043
2023-05-23 21:58:08.570 295:pos-tag                INFO     ********************
2023-05-23 21:58:09.857 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:58:09.858 315:pos-tag                INFO     ********************
2023-05-23 21:58:09.858 316:pos-tag                INFO     Best MCC:0.2703
2023-05-23 21:58:09.858 317:pos-tag                INFO     ********************
2023-05-23 21:58:11.130 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:58:11.922 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:58:11.922 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:58:11.922 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:58:16.653 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:58:16.653 401:pos-tag                INFO     eval_acc = 0.3676
2023-05-23 21:58:16.653 401:pos-tag                INFO     eval_f1 = 0.0505
2023-05-23 21:58:16.653 401:pos-tag                INFO     eval_mcc = 0.3243
2023-05-23 21:58:16.653 401:pos-tag                INFO     eval_precision = 0.0593
2023-05-23 21:58:16.653 401:pos-tag                INFO     eval_recall = 0.0564
2023-05-23 21:58:16.653 293:pos-tag                INFO     ********************
2023-05-23 21:58:16.653 294:pos-tag                INFO     Best f1:0.0505
2023-05-23 21:58:16.653 295:pos-tag                INFO     ********************
2023-05-23 21:58:17.939 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:58:17.939 315:pos-tag                INFO     ********************
2023-05-23 21:58:17.940 316:pos-tag                INFO     Best MCC:0.3243
2023-05-23 21:58:17.940 317:pos-tag                INFO     ********************
2023-05-23 21:58:19.312 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:58:20.113 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:58:20.113 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:58:20.113 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:58:24.841 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:58:24.841 401:pos-tag                INFO     eval_acc = 0.4093
2023-05-23 21:58:24.841 401:pos-tag                INFO     eval_f1 = 0.0573
