2022-08-28 04:31:41.284 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:31:42.108 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:31:42.108 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:31:42.108 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:31:45.484 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:31:45.484 401:pos-tag                INFO     eval_acc = 0.2605
2022-08-28 04:31:45.484 401:pos-tag                INFO     eval_f1 = 0.0275
2022-08-28 04:31:45.484 401:pos-tag                INFO     eval_mcc = 0.2053
2022-08-28 04:31:45.484 401:pos-tag                INFO     eval_precision = 0.0508
2022-08-28 04:31:45.484 401:pos-tag                INFO     eval_recall = 0.0341
2022-08-28 04:31:45.484 293:pos-tag                INFO     ********************
2022-08-28 04:31:45.485 294:pos-tag                INFO     Best f1:0.0275
2022-08-28 04:31:45.485 295:pos-tag                INFO     ********************
2022-08-28 04:31:46.762 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:31:46.763 315:pos-tag                INFO     ********************
2022-08-28 04:31:46.763 316:pos-tag                INFO     Best MCC:0.2053
2022-08-28 04:31:46.763 317:pos-tag                INFO     ********************
2022-08-28 04:31:48.379 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:31:49.202 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:31:49.203 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:31:49.203 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:31:52.581 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:31:52.581 401:pos-tag                INFO     eval_acc = 0.312
2022-08-28 04:31:52.582 401:pos-tag                INFO     eval_f1 = 0.0375
2022-08-28 04:31:52.582 401:pos-tag                INFO     eval_mcc = 0.2609
2022-08-28 04:31:52.582 401:pos-tag                INFO     eval_precision = 0.0939
2022-08-28 04:31:52.582 401:pos-tag                INFO     eval_recall = 0.0444
2022-08-28 04:31:52.582 293:pos-tag                INFO     ********************
2022-08-28 04:31:52.582 294:pos-tag                INFO     Best f1:0.0375
2022-08-28 04:31:52.582 295:pos-tag                INFO     ********************
2022-08-28 04:31:56.182 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:31:56.182 315:pos-tag                INFO     ********************
2022-08-28 04:31:56.183 316:pos-tag                INFO     Best MCC:0.2609
2022-08-28 04:31:56.183 317:pos-tag                INFO     ********************
2022-08-28 04:31:58.530 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:31:59.345 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:31:59.345 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:31:59.345 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:32:02.728 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:32:02.728 401:pos-tag                INFO     eval_acc = 0.3516
2022-08-28 04:32:02.728 401:pos-tag                INFO     eval_f1 = 0.0766
2022-08-28 04:32:02.728 401:pos-tag                INFO     eval_mcc = 0.3159
2022-08-28 04:32:02.728 401:pos-tag                INFO     eval_precision = 0.1366
2022-08-28 04:32:02.728 401:pos-tag                INFO     eval_recall = 0.0743
2022-08-28 04:32:02.728 293:pos-tag                INFO     ********************
2022-08-28 04:32:02.728 294:pos-tag                INFO     Best f1:0.0766
2022-08-28 04:32:02.729 295:pos-tag                INFO     ********************
2022-08-28 04:32:05.997 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:32:05.997 315:pos-tag                INFO     ********************
2022-08-28 04:32:05.998 316:pos-tag                INFO     Best MCC:0.3159
2022-08-28 04:32:05.998 317:pos-tag                INFO     ********************
2022-08-28 04:32:07.499 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:32:08.129 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:32:08.129 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:32:08.129 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:32:11.509 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:32:11.509 401:pos-tag                INFO     eval_acc = 0.4194
2022-08-28 04:32:11.509 401:pos-tag                INFO     eval_f1 = 0.1262
2022-08-28 04:32:11.509 401:pos-tag                INFO     eval_mcc = 0.3935
2022-08-28 04:32:11.509 401:pos-tag                INFO     eval_precision = 0.1886
2022-08-28 04:32:11.510 401:pos-tag                INFO     eval_recall = 0.1134
